% format: hum_front_[alt]_hPa(city1,city2,yyyy,mm,dd,h).

hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,2,9).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,2,9).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,2,9).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,2,17).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,2,17).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,2,17).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,2,17).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,2,17).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,2,17).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,3,2).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,3,2).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,3,4).
hum_front_300_hPa(barcis,pordenone,2019,4,3,4).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,3,4).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,3,11).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,3,11).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,3,11).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,12).
hum_front_300_hPa(lignano_grado,trieste,2019,4,3,12).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,3,12).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,3,12).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,13).
hum_front_300_hPa(lignano_grado,trieste,2019,4,3,13).
hum_front_300_hPa(barcis,pordenone,2019,4,3,13).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,3,13).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,3,13).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,3,14).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,14).
hum_front_300_hPa(barcis,pordenone,2019,4,3,14).
hum_front_300_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,3,14).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,3,14).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,3,15).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,3,15).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,3,15).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,3,15).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,3,15).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,3,17).
hum_front_300_hPa(barcis,pordenone,2019,4,3,17).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,3,17).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,3,19).
hum_front_300_hPa(barcis,pordenone,2019,4,3,19).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,3,19).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,3,20).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,3,20).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,3,20).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,3,22).
hum_front_300_hPa(barcis,pordenone,2019,4,3,22).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,3,22).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,3,23).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,3,23).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,3,23).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,3,23).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,4,0).
hum_front_300_hPa(barcis,pordenone,2019,4,4,0).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,4,0).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,4,1).
hum_front_300_hPa(barcis,pordenone,2019,4,4,1).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,4,1).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,4,1).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,2).
hum_front_300_hPa(lignano_grado,trieste,2019,4,4,2).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,4,2).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,4,2).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,3).
hum_front_300_hPa(lignano_grado,trieste,2019,4,4,3).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,4,3).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,4,3).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,4).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,4,4).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,4,4).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,4,4).
hum_front_300_hPa(lignano_grado,trieste,2019,4,4,5).
hum_front_300_hPa(gorizia,trieste,2019,4,4,5).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,4,6).
hum_front_300_hPa(barcis,pordenone,2019,4,4,6).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,4,6).
hum_front_300_hPa(gemona_stolvizza,gorizia,2019,4,4,6).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,4,6).
hum_front_300_hPa(lignano_grado,trieste,2019,4,4,7).
hum_front_300_hPa(gorizia,trieste,2019,4,4,7).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,4,8).
hum_front_300_hPa(barcis,pordenone,2019,4,4,8).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,4,8).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,4,8).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,4,9).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,4,9).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,4,9).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,4,9).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,4,9).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,4,10).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,4,10).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,4,10).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,4,10).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,4,10).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,4,11).
hum_front_300_hPa(barcis,pordenone,2019,4,4,11).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,4,11).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,4,12).
hum_front_300_hPa(lignano_grado,trieste,2019,4,4,12).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,4,12).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,4,12).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,4,12).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,4,12).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,4,13).
hum_front_300_hPa(lignano_grado,trieste,2019,4,4,13).
hum_front_300_hPa(barcis,pordenone,2019,4,4,13).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,4,13).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,4,13).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,4,13).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,4,15).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,4,15).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,4,15).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,4,16).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,4,16).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,4,16).
hum_front_300_hPa(lignano_grado,trieste,2019,4,4,18).
hum_front_300_hPa(gorizia,trieste,2019,4,4,18).
hum_front_300_hPa(lignano_grado,trieste,2019,4,5,10).
hum_front_300_hPa(gorizia,trieste,2019,4,5,10).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,5,11).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,5,11).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,5,12).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,5,12).
hum_front_300_hPa(gemona_stolvizza,gorizia,2019,4,5,12).
hum_front_300_hPa(lignano_grado,trieste,2019,4,5,13).
hum_front_300_hPa(gorizia,trieste,2019,4,5,13).
hum_front_300_hPa(lignano_grado,trieste,2019,4,5,14).
hum_front_300_hPa(gorizia,trieste,2019,4,5,14).
hum_front_300_hPa(lignano_grado,trieste,2019,4,5,15).
hum_front_300_hPa(gorizia,trieste,2019,4,5,15).
hum_front_300_hPa(lignano_grado,trieste,2019,4,5,16).
hum_front_300_hPa(gorizia,trieste,2019,4,5,16).
hum_front_300_hPa(lignano_grado,trieste,2019,4,5,17).
hum_front_300_hPa(gorizia,trieste,2019,4,5,17).
hum_front_300_hPa(lignano_grado,trieste,2019,4,5,18).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,5,18).
hum_front_300_hPa(gemona_stolvizza,gorizia,2019,4,5,18).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,5,19).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,5,19).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,5,19).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,5,19).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,5,19).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,5,20).
hum_front_300_hPa(barcis,pordenone,2019,4,5,20).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,5,20).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,5,20).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,5,20).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,5,21).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,5,21).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,5,21).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,5,21).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,5,21).
hum_front_300_hPa(lignano_grado,trieste,2019,4,5,22).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,5,22).
hum_front_300_hPa(gemona_stolvizza,gorizia,2019,4,5,22).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,5,23).
hum_front_300_hPa(gemona_stolvizza,gorizia,2019,4,5,23).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,0).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,6,0).
hum_front_300_hPa(barcis,pordenone,2019,4,6,0).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,6,0).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,0).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,1).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,1).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,1).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,6,2).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,2).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,6,2).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,6,2).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,3).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,3).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,6,3).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,6,3).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,6,3).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,4).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,6,4).
hum_front_300_hPa(barcis,pordenone,2019,4,6,4).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,6,4).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,4).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,6,4).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,5).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,5).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,5).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,6,5).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,6,5).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,6).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,6).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,6).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,6).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,6,6).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,7).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,6,7).
hum_front_300_hPa(barcis,pordenone,2019,4,6,7).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,7).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,7).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,6,7).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,8).
hum_front_300_hPa(barcis,pordenone,2019,4,6,8).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,8).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,8).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,6,8).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,13).
hum_front_300_hPa(lignano_grado,trieste,2019,4,6,13).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,6,13).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,13).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,14).
hum_front_300_hPa(lignano_grado,trieste,2019,4,6,14).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,14).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,14).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,6,15).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,15).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,6,15).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,6,15).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,6,16).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,6,16).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,6,16).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,6,16).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,6,17).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,6,17).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,6,17).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,6,17).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,6,17).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,7,6).
hum_front_300_hPa(barcis,pordenone,2019,4,7,6).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,7,6).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,7,6).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,7,7).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,7,7).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,7,7).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,7,7).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,7,7).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,8).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,7,8).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,8).
hum_front_300_hPa(lignano_grado,trieste,2019,4,7,9).
hum_front_300_hPa(gorizia,trieste,2019,4,7,9).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,10).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,7,10).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,7,10).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,7,10).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,10).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,7,10).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,7,12).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,7,12).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,7,12).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,7,13).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,7,13).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,7,14).
hum_front_300_hPa(barcis,pordenone,2019,4,7,14).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,7,14).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,7,15).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,7,15).
hum_front_300_hPa(barcis,pordenone,2019,4,7,15).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,7,15).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,15).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,7,15).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,7,16).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,7,16).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,7,16).
hum_front_300_hPa(barcis,pordenone,2019,4,7,17).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,7,20).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,7,20).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,7,20).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,20).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,7,20).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,7,21).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,7,21).
hum_front_300_hPa(gorizia,pontebba_tarvisio,2019,4,7,21).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,7,21).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,7,21).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,7,22).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,7,22).
hum_front_300_hPa(lignano_grado,trieste,2019,4,7,22).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,7,22).
hum_front_300_hPa(gorizia,trieste,2019,4,7,22).
hum_front_300_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,7,22).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,7,22).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,7,23).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,7,23).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,7,23).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,7,23).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,8,0).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,8,0).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,8,0).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,8,0).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,8,0).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,8,0).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,8,1).
hum_front_300_hPa(barcis,pordenone,2019,4,8,1).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,8,1).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,8,1).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,8,3).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,8,3).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,8,3).
hum_front_300_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,8,3).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,8,3).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,8,12).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,8,12).
hum_front_300_hPa(gemona_stolvizza,gorizia,2019,4,8,12).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,8,13).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,8,13).
hum_front_300_hPa(barcis,pordenone,2019,4,8,13).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,8,13).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,8,13).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,8,13).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,8,14).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,8,14).
hum_front_300_hPa(barcis,pordenone,2019,4,8,14).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,8,14).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,8,14).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,8,14).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,8,15).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,8,15).
hum_front_300_hPa(lignano_grado,pordenone,2019,4,8,15).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,8,15).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,8,15).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,8,15).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,8,16).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,8,16).
hum_front_300_hPa(barcis,pordenone,2019,4,8,16).
hum_front_300_hPa(gemona_stolvizza,sappada_forni_villa,2019,4,8,16).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,8,16).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,8,23).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,8,23).
hum_front_300_hPa(lignano_grado,trieste,2019,4,8,23).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,8,23).
hum_front_300_hPa(gorizia,trieste,2019,4,8,23).
hum_front_300_hPa(gemona_stolvizza,udine_palmanova,2019,4,8,23).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,8,23).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,9,0).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,9,0).
hum_front_300_hPa(lignano_grado,trieste,2019,4,9,0).
hum_front_300_hPa(barcis,sappada_forni_villa,2019,4,9,0).
hum_front_300_hPa(gorizia,udine_palmanova,2019,4,9,0).
hum_front_300_hPa(gemona_stolvizza,gorizia,2019,4,9,0).
hum_front_300_hPa(pordenone,sappada_forni_villa,2019,4,9,0).
hum_front_300_hPa(sappada_forni_villa,udine_palmanova,2019,4,9,1).
hum_front_300_hPa(lignano_grado,udine_palmanova,2019,4,9,1).
hum_front_300_hPa(gorizia,lignano_grado,2019,4,9,1).
hum_front_300_hPa(gemona_stolvizza,pontebba_tarvisio,2019,4,9,1).
hum_front_300_hPa(pordenone,udine_palmanova,2019,4,9,1).
hum_front_300_hPa(pontebba_tarvisio,sappada_forni_villa,2019,4,9,16).
